ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
CUTNOOK LANE,UNASSIGNED,COL/076/040/0016,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M27 0JD
HARROP STREET,UNASSIGNED,COL/004/058/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M30 9EZ
BROAD STREET,UNASSIGNED,COL/200/019/0018,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Irwell Riverside Ward,30m,M27 0NJ
EAST LANCASHIRE ROAD,UNASSIGNED  WEST BOUND CARRIAGEWAY,COL/101/001/0238,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Worsley,Worsley Ward,12m,M27 0WD
FIR STREET,UNASSIGNED,COL/081/011/0027,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YG
BARTON ROAD,UNASSIGNED,COL/324/001/0009,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T),150 watts,,Level 2,Yes,Worsley,Worsley Ward,10m,M30 9LP
BOOTHSHALL WAY,OUTSIDE REAR OF SCHOOL - LEIGH ROAD END,COL/001/076/0039,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0NH
BROAD STREET,UNASSIGNED,SGN/200/019/0018-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M27 0WJ
FIR STREET,UNASSIGNED,COL/081/011/0022,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YQ
BULRUSH CLOSE,ROAD OUTSIDE 47/49,COL/010/073/0005,Lighting Column 6m,Steel,SL - Column,Philips,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M27 6AY
FIR STREET,UNASSIGNED,COL/081/011/0026,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YG
HENRY STREET,UNASSIGNED,SGN/072/004/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M27 9UE
DALES BROW,UNASSIGNED,COL/067/001/0005,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Swinton,Swinton South Ward,8m,M27 5QZ
FIR STREET,UNASSIGNED,COL/081/011/0028,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YQ
HEATH AVENUE,ROAD OPPOSITE 2 SIRIUS PLACE,COL/042/007/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 5QY
BROADWAY,ROAD OUTSIDE 69A,COL/002/009/0020,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M30 9JZ
CARINA PLACE,ROAD AT OR OUTSIDE 16 CARINA PLACE,COL/042/009/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 9SZ
CROFT STREET,UNASSIGNED,COL/007/004/0006,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M27 0DW
ASTLEY ROAD,UNASSIGNED,COL/079/028/0009,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Irlam,Cadishead Ward,5m,M30 0HJ
BROAD STREET,UNASSIGNED,SGN/200/019/0017-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M27 0WD
BROOKLANDS ROAD,UNASSIGNED,COL/015/054/0004,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Swinton,Worsley Ward,6m,M30 0WU
CHOIR STREET,UNASSIGNED,COL/038/022/0004,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Not Specified,Yes,Salford 7,Broughton Ward,8m,M27 5YQ
FIR STREET,UNASSIGNED,COL/081/011/0024,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YQ
GREEN LANE,UNASSIGNED,COL/322/001/0007,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,8m,M27 6WG
BEVERLEY ROAD,UNASSIGNED,COL/026/011/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 2,Yes,Swinton,Claremont Ward,6m,M30 9FT
BOOTHSHALL WAY,OPPOSITE BACK OF SCHOOL,COL/001/076/0038,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0NH
BOLTON ROAD,UNASSIGNED,SGN/061/002/0024-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M27 9TJ
FREDERICK ROAD,UNASSIGNED,SGN/315/001/0007-2,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Irwell Riverside Ward,,M30 0WB
HEATH AVENUE,OPPOSITE 11,COL/042/007/0004,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 0DW
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0027,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
DUNEDIN DRIVE,UNASSIGNED,COL/028/015/0011,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Irwell Riverside Ward,6m,M30 0FU
CRESCENT,CENT.RES. NR. OLDFIELD ROAD,COL/200/023/0004,Lighting Column 12m,Steel,SL - Column,Aquila,Cosmopolis,140 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M27 5DL
FIR STREET,UNASSIGNED,COL/081/011/0023,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YG
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0019,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WA
CAVENDISH ROAD,OUTSIDE 72,COL/030/025/0017,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 7,Kersal Ward,6m,M27 0JE
BARTON ROAD,UNASSIGNED,COL/308/001/0009,Lighting Column 8m,Steel,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,8m,M30 9LP
HOWLEY CLOSE,OUTSIDE 7,COL/079/060/0003,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Irlam,Cadishead Ward,6m,M30 9QG
BOOTHSHALL WAY,OUTSIDE BACK OF SCHOOL - NEAR ENTRANCE,COL/001/076/0037,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0NH
DALES BROW,UNASSIGNED,SGN/067/001/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Worsley Ward,,M27 5DL
GREEN LANE,UNASSIGNED,COL/069/006/0007,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 3,Yes,Eccles,Eccles Ward,5m,M27 6SL
CENTENARY WAY,UNASSIGNED,COL/300/033/0003,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Salford 5,Barton Ward,12m,M27 0JA
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0025,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
FIR STREET,UNASSIGNED,COL/081/011/0025,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M27 5YG
HENRY STREET,UNASSIGNED,COL/072/004/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 2,Yes,Eccles,Barton Ward,6m,M27 9UE
EAST LANCASHIRE ROAD,UNASSIGNED  EAST BOUND CARRIAGEWAY,COL/101/001/0237,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,12m,M27 0WD
BULRUSH CLOSE,ROAD OUTSIDE 4/6,COL/010/073/0004,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M27 6UN
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0024,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0026,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
CHOIR STREET,UNASSIGNED,COL/038/022/0003,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M27 0YL
CLIFTON HOUSE ROAD,UNASSIGNED,COL/020/011/0010,Lighting Column 6m,Concrete,SL - Column,Unknown,Low P Sodium,35 watts,,Level 4,Yes,Swinton,Pendlebury Ward,6m,M30 9GZ
HARROP STREET,UNASSIGNED,COL/004/058/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M30 9HQ
BOOTHSHALL WAY,ROAD AT OR OUTSIDE 128 SEE DRAWING NO. WO/,COL/001/076/0036,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0NH
CUTNOOK LANE,UNASSIGNED,COL/076/027/0016C,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Irlam,Irlam Ward,5m,M27 0JD
BARTON ROAD,UNASSIGNED,SGN/324/003/0009-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M30 9LP
BROADWAY,UNASSIGNED,COL/200/031/0020,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,10m,M30 9JF
DEVONSHIRE STREET,OUTSIDE 12,COL/033/051/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M30 0WG
HEATH AVENUE,OUTSIDE HUMPHREY BOOTH DAY CARE CENTRE,COL/042/007/0005,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 5QW
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0021,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
GORTON STREET,UNASSIGNED,COL/074/025/0015,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Eccles,Winton Ward,5m,M27 0NF
GORTON STREET,UNASSIGNED,COL/074/025/0016,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Eccles,Winton Ward,5m,M27 0NE
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0023,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
CRESCENT,UNASSIGNED,SGN/200/023/0035-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M27 5QY
GREEN LANE,UNASSIGNED,COL/322/001/0006,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M27 6ST
BEVERLEY ROAD,UNASSIGNED,COL/026/011/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 3,Yes,Swinton,Claremont Ward,6m,M30 9FT
BROOKSIDE CRESCENT,UNASSIGNED,COL/010/055/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M30 0WP
CARDWELL ROAD,ROAD AT OR OUTSIDE 51 & 36 CARDWELL ROAD,COL/074/049/0007,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M27 9SZ
CRESCENT,UNASSIGNED,COL/200/023/0041,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,Level 1 (Good),Yes,Salford 5,Irwell Riverside Ward,30m,M27 5QY
ASTLEY ROAD,UNASSIGNED,COL/079/028/0008,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 4,Yes,Irlam,Cadishead Ward,5m,M30 0FR
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0022,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0018,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WA
CHAPEL STREET,UNASSIGNED,COL/200/024/0025,Lighting Column 5m,Concrete,SL - Column,Thorn,High P Sodium (T),100 watts,,Level 2,Yes,Salford 3,Ordsall Ward,5m,M27 6WG
BURY NEW ROAD,ROAD OPPOSITE GROVE STREET,COL/300/007/0004,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,10m,M30 0LY
DALES BROW,UNASSIGNED,COL/067/001/0004,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Swinton,Swinton South Ward,8m,M27 5QZ
HENNIKER STREET,UNASSIGNED,COL/012/032/0001,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,5m,M27 9TY
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0020,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,10m,M30 0WG
CHOIR STREET,UNASSIGNED,COL/038/022/0002,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M27 5YR
CENTENARY WAY,UNASSIGNED,SGN/300/013/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Barton Ward,,M27 0WJ
BEVENDON SQUARE,ROAD REAR OF 15/17 BASTEN DRIVE,COL/034/023/0011,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M30 9FF
BROADWAY,UNASSIGNED,COL/077/011/0021,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Irlam,Irlam Ward,6m,M30 9JE
CENTENARY WAY,UNASSIGNED,COL/300/033/0008,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,12m,M27 0WJ
BLACKFRIARS ROAD,UNASSIGNED,COL/200/026/0014,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (E),250 watts,,Level 4,Yes,Salford 3,Irwell Riverside Ward,12m,M27 9TP
HINDBURN DRIVE,UNASSIGNED,COL/002/057/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M27 9TL
BOLTON ROAD,UNASSIGNED,COL/218/003/0025,Lighting Column 10m,Steel,SL - Column,G.E.C.,Low P Sodium,135 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,10m,M27 9TJ
CENTENARY WAY,ROAD AT OR OUTSIDE CENTENARY CIRCLE PECU AT COLUMN,BOL/657/001/0008,Illuminated Bollard,None,SL - Bollard,F.D.I.,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M27 0WJ
COBDEN STREET,UNASSIGNED,COL/027/069/0005,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,8m,M27 6AY
CUTNOOK LANE,UNASSIGNED,COL/076/040/0017,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Irlam Ward,6m,M27 0JE
GORTON STREET,UNASSIGNED,COL/074/025/0014,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Winton Ward,5m,M27 0NE
HAMILTON AVENUE,UNASSIGNED,COL/081/058/0004,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),50 watts,,Level 3,Yes,Irlam,Cadishead Ward,5m,M30 9DS
GORTON STREET,UNASSIGNED,COL/074/025/0013,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 3,Yes,Eccles,Winton Ward,5m,M27 0NF
HINDBURN DRIVE,UNASSIGNED,COL/002/057/0005,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M27 9TL
CENTENARY WAY,UNASSIGNED,SGN/300/013/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Barton Ward,,M27 0JA
CRESCENT,UNASSIGNED,SGN/200/023/0034-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M27 5QY
HARROP STREET,UNASSIGNED,COL/004/058/0006,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M30 9HZ
BULRUSH CLOSE,ROAD TO SIDE OF 35,COL/010/073/0003,Lighting Column 6m,Steel,SL - Column,WRTL,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M27 6AY
HINDBURN DRIVE,UNASSIGNED,COL/002/057/0006,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M27 9TL
EAST LANCASHIRE ROAD,UNASSIGNED  WEST BOUND CARRIAGEWAY,COL/101/001/0236,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Worsley,Worsley Ward,12m,M27 0WD
HOWLEY CLOSE,OUTSIDE 10,COL/079/060/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Irlam,Cadishead Ward,6m,M30 9QG
CENTENARY WAY,UNASSIGNED,SGN/300/013/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Barton Ward,,M27 0WJ
DALES BROW,UNASSIGNED,SGN/067/001/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Worsley Ward,,M27 5QZ
CLIFTON HOUSE ROAD,UNASSIGNED,COL/020/011/0008,Lighting Column 6m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Swinton,Pendlebury Ward,6m,M30 9GZ
HEATH AVENUE,ROAD AT OR OUTSIDE 8 AURIGA WALK,COL/042/007/0006,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 3,Yes,Salford 7,Broughton Ward,6m,M27 5QW
CHOIR STREET,OUTSIDE BLACKBURN FRASER LTD,COL/038/022/0001,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M27 0YL
ELLESMERE STREET,ROAD AT OR OUTSIDE 89 TO 99,COL/071/031/0016,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M27 6WT
ASTLEY ROAD,UNASSIGNED,COL/079/028/0007,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 4,Yes,Irlam,Cadishead Ward,5m,M30 0FR
BOURNBROOK AVENUE,UNASSIGNED,COL/007/026/0003,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Worsley,Little Hulton Ward,5m,M27 9TZ
GREEN LANE,UNASSIGNED,SGN/322/001/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M27 6WE
CENTENARY WAY,UNASSIGNED,COL/300/033/0007,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,12m,M27 0WJ
BURY NEW ROAD,ROAD NEAR MOOREND AVENUE SITE NO. 5,BOL/630/006/0004,Illuminated Bollard,Unassigned,SL - Bollard,F.D.I.,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M30 0LZ
BROADWAY,ROAD OUTSIDE 75,COL/002/009/0022,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M30 9JE
CARDWELL ROAD,ROAD AT OR OUTSIDE 14/16 CARDWELL ROAD,COL/074/049/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M27 9SZ
FALCON CRESCENT,UNASSIGNED,COL/021/034/0032,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,5m,M27 5SB
GORTON STREET,UNASSIGNED,COL/074/025/0012,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Winton Ward,5m,M27 0NE
HENLEY AVENUE,UNASSIGNED,COL/080/012/0002,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,5m,M27 9TU
